* Disclaimer:
* THIS FILE IS PROVIDED AS IS AND WITH:
* (A)  NO WARRANTY OF ANY KIND, express, implied or statutory, including any implied warranties of merchantability, fitness for a particular purpose and noninfringement, which Infineon disclaims to the maximum extent permitted by applicable law; and
* (B)  NO INDEMNIFICATION FOR INFRINGEMENT OF INTELLECTUAL PROPERTY RIGHTS.
* LIMITATION OF LIABILITY:  IN NO EVENT SHALL INFINEON BE LIABLE FOR ANY DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES (INCLUDING LOST PROFITS OR SAVINGS) WHATSOEVER, WHETHER BASED ON CONTRACT, TORT OR 
* ANY OTHER LEGAL THEORY, EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.
* © 2020 Infineon Technologies AG. All rights reserved

Release:
	version 3.0


Tag	,	Weight	,	Net	,	Device	,	Terminal
Defect_Open_125	,	1	,	xdut.gate	,	xdut.xi8.m1	,	D
Defect_Open_126	,	1	,	xdut.xi8.net027	,	xdut.xi8.m4	,	D
Defect_Open_127	,	1	,	xdut.xi8.net028	,	xdut.xi8.xi13.m4	,	D
Defect_Open_128	,	1	,	xdut.gate	,	xdut.xi8.xi13.m3	,	D
Defect_Open_129	,	1	,	xdut.amp_out	,	xdut.xi8.xi15.m4	,	D
Defect_Open_130	,	1	,	xdut.xi8.net028	,	xdut.xi8.xi15.m3	,	D
Defect_Open_131	,	1	,	xdut.xi8.net027	,	xdut.xi8.xi12.m4	,	D
Defect_Open_132	,	1	,	xdut.gate	,	xdut.xi8.xi12.m3	,	D
Defect_Open_133	,	1	,	xdut.amp_out	,	xdut.xi8.xi78.m4	,	D
Defect_Open_134	,	1	,	xdut.xi8.net027	,	xdut.xi8.xi78.m3	,	D
Defect_Open_135	,	1	,	xdut.net13	,	xdut.xi40.mptrans10	,	D
Defect_Open_136	,	1	,	xdut.net13	,	xdut.xi40.mntrans11	,	D
Defect_Open_137	,	1	,	xdut.xi9.net07	,	xdut.xi9.m9	,	D
Defect_Open_138	,	1	,	xdut.xi9.net07	,	xdut.xi9.m3	,	D
Defect_Open_139	,	1	,	xdut.xi9.net011	,	xdut.xi9.m6	,	D
Defect_Open_140	,	150	,	vout	,	xdut.xi9.m0	,	D
Defect_Open_141	,	1	,	xdut.xi9.net011	,	xdut.xi9.m7	,	D
Defect_Open_142	,	1	,	xdut.xi9.net012	,	xdut.xi9.xi64.mptrans10	,	D
Defect_Open_143	,	1	,	xdut.xi9.net012	,	xdut.xi9.xi64.mntrans11	,	D
Defect_Open_144	,	1	,	xdut.net23	,	xdut.xi32.xi8.mptrans38	,	D
Defect_Open_145	,	1	,	xdut.net23	,	xdut.xi32.xi8.mptrans37	,	D
Defect_Open_146	,	1	,	xdut.xi32.xi8.net25	,	xdut.xi32.xi8.mntrans36	,	D
Defect_Open_147	,	1	,	xdut.net23	,	xdut.xi32.xi8.mntrans35	,	D
Defect_Open_148	,	1	,	xdut.net12	,	xdut.xi32.xi7.mptrans38	,	D
Defect_Open_149	,	1	,	xdut.net12	,	xdut.xi32.xi7.mptrans37	,	D
Defect_Open_150	,	1	,	xdut.xi32.xi7.net25	,	xdut.xi32.xi7.mntrans36	,	D
Defect_Open_151	,	1	,	xdut.net12	,	xdut.xi32.xi7.mntrans35	,	D
Defect_Open_152	,	1	,	xdut.xi32.net13	,	xdut.xi32.xi6.mptrans38	,	D
Defect_Open_153	,	1	,	xdut.xi32.net13	,	xdut.xi32.xi6.mptrans37	,	D
Defect_Open_154	,	1	,	xdut.xi32.xi6.net25	,	xdut.xi32.xi6.mntrans36	,	D
Defect_Open_155	,	1	,	xdut.xi32.net13	,	xdut.xi32.xi6.mntrans35	,	D
Defect_Open_156	,	1	,	xdut.xi32.net14	,	xdut.xi32.xi5.mptrans38	,	D
Defect_Open_157	,	1	,	xdut.xi32.net14	,	xdut.xi32.xi5.mptrans37	,	D
Defect_Open_158	,	1	,	xdut.xi32.xi5.net25	,	xdut.xi32.xi5.mntrans36	,	D
Defect_Open_159	,	1	,	xdut.xi32.net14	,	xdut.xi32.xi5.mntrans35	,	D
Defect_Open_160	,	1	,	xdut.xi32.xi4.net25	,	xdut.xi32.xi4.mntrans36	,	D
Defect_Open_161	,	1	,	xdut.xi32.net7	,	xdut.xi32.xi4.mntrans35	,	D
Defect_Open_162	,	1	,	xdut.xi32.net17	,	xdut.xi32.xi3.mptrans38	,	D
Defect_Open_163	,	1	,	xdut.xi32.net17	,	xdut.xi32.xi3.mptrans37	,	D
Defect_Open_164	,	1	,	xdut.xi32.xi3.net25	,	xdut.xi32.xi3.mntrans36	,	D
Defect_Open_165	,	1	,	xdut.xi32.net17	,	xdut.xi32.xi3.mntrans35	,	D
Defect_Open_166	,	1	,	xdut.xi32.net11	,	xdut.xi32.xi2.mptrans38	,	D
Defect_Open_167	,	1	,	xdut.xi32.net11	,	xdut.xi32.xi2.mptrans37	,	D
Defect_Open_168	,	1	,	xdut.xi32.xi2.net25	,	xdut.xi32.xi2.mntrans36	,	D
Defect_Open_169	,	1	,	xdut.xi32.net11	,	xdut.xi32.xi2.mntrans35	,	D
Defect_Open_170	,	1	,	xdut.xi32.net12	,	xdut.xi32.xi1.mptrans38	,	D
