* Disclaimer:
* THIS FILE IS PROVIDED AS IS AND WITH:
* (A) NO WARRANTY OF ANY KIND, express, implied or statutory, including any implied warranties of merchantability, fitness for a particular purpose and noninfringement, which  Infineon disclaims to the maximum extent permitted by applicable law; and
* (B) NO INDEMNIFICATION FOR INFRINGEMENT OF INTELLECTUAL PROPERTY RIGHTS.
* (C) LIMITATION OF LIABILITY: IN NO EVENT SHALL INFINEON BE LIABLE FOR ANY DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES (INCLUDING LOST PROFITS OR SAVINGS) WHATSOEVER, WHETHER BASED ON CONTRACT, TORT OR ANY OTHER LEGAL THEORY, EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.
* © 2020 Infineon Technologies AG. All rights reserved.

* Note:
* The CMOS transistor models used, were freely available models downloaded from: http://ptm.asu.edu.
* The bipolar transistor models are from: The Development of Bipolar Log-Domain Filters in a Standard CMOS Process, G. D. Duerden, G. W. Roberts, M. J. Deen, 2001

* Release:
* 	version 2.0

Tag,Net,path-port,device,terminal
TAG	,	Net	,	Path	,	Device	,	Terminal
G_58	,	net033	,	DUT.I57.I19.ntrans11:g	,	nreg	,	g
G_59	,	net033	,	DUT.I51.I19.ptrans10:g	,	preg	,	g
G_60	,	net033	,	DUT.I51.I19.ntrans11:g	,	nreg	,	g
G_61	,	net033	,	DUT.I42.I117.ptrans10:g	,	preg	,	g
G_62	,	net033	,	DUT.I42.I117.ntrans11:g	,	nreg	,	g
G_63	,	net033	,	DUT.I42.I14.I34.ptrans10:g	,	preg	,	g
G_64	,	net033	,	DUT.I42.I14.I34.ntrans11:g	,	nreg	,	g
G_65	,	net033	,	DUT.I66.ptrans10:g	,	preg	,	g
G_66	,	net033	,	DUT.I66.ntrans11:g	,	nreg	,	g
G_67	,	net033	,	DUT.I73.I0.ptrans10:g	,	preg	,	g
G_68	,	net033	,	DUT.I73.I0.ntrans11:g	,	nreg	,	g
G_69	,	net033	,	DUT.I73.M3:g	,	nreg	,	g
G_70	,	net033	,	DUT.I73.M2:g	,	nreg	,	g
G_71	,	net033	,	DUT.I74.I0.ptrans10:g	,	preg	,	g
G_72	,	net033	,	DUT.I74.I0.ntrans11:g	,	nreg	,	g
G_73	,	net033	,	DUT.I74.M3:g	,	nreg	,	g
G_74	,	net033	,	DUT.I74.M2:g	,	nreg	,	g
G_75	,	net033	,	DUT.M3:g	,	preg	,	g
G_76	,	net033	,	DUT.M1:g	,	nreg	,	g
G_77	,	net038	,	DUT.I78.ptrans10:g	,	preg	,	g
G_78	,	net038	,	DUT.I78.ntrans11:g	,	nreg	,	g
G_79	,	net038	,	DUT.I76.ptrans24:g	,	preg	,	g
G_80	,	net038	,	DUT.I76.ntrans21:g	,	nreg	,	g
G_81	,	net3	,	DUT.I17.M81:g	,	preg	,	g
G_82	,	net3	,	DUT.I17.M80:g	,	preg	,	g
G_83	,	net3	,	DUT.I17.M83:g	,	nreg	,	g
G_84	,	net3	,	DUT.I17.M82:g	,	nreg	,	g
G_85	,	net026	,	DUT.I57.I164.I153.ptrans24:g	,	preg	,	g
G_86	,	net026	,	DUT.I57.I164.I153.ntrans21:g	,	nreg	,	g
G_87	,	net03	,	DUT.I57.I163.I153.ptrans24:g	,	preg	,	g
G_88	,	net03	,	DUT.I57.I163.I153.ntrans21:g	,	nreg	,	g
G_89	,	net028	,	DUT.I57.I162.I153.ptrans24:g	,	preg	,	g
G_90	,	net028	,	DUT.I57.I162.I153.ntrans21:g	,	nreg	,	g
G_91	,	net029	,	DUT.I57.I170.I153.ptrans24:g	,	preg	,	g
G_92	,	net029	,	DUT.I57.I170.I153.ntrans21:g	,	nreg	,	g
G_93	,	net029	,	DUT.I57.I9.ptrans24:g	,	preg	,	g
G_94	,	net029	,	DUT.I57.I9.ntrans27:g	,	nreg	,	g
G_95	,	net030	,	DUT.I57.I169.I153.ptrans24:g	,	preg	,	g
G_96	,	net030	,	DUT.I57.I169.I153.ntrans21:g	,	nreg	,	g
G_97	,	net030	,	DUT.I57.I6.ptrans24:g	,	preg	,	g
G_98	,	net030	,	DUT.I57.I6.ntrans27:g	,	nreg	,	g
G_99	,	net031	,	DUT.I57.I168.I153.ptrans24:g	,	preg	,	g
G_100	,	net031	,	DUT.I57.I168.I153.ntrans21:g	,	nreg	,	g
G_101	,	net031	,	DUT.I57.I171.ptrans24:g	,	preg	,	g
